alpha,epsilon,tau,lambda
5.0,7.354748568549685,1.0,1.0
5.0,3.819660112501051,1.0,1.0
5.0,3.819660112501051,1.0,1.0
5.0,3.819660112501051,1.0,1.0
5.0,9.999942991718875,1.0,1.0
5.0,0.9261077625241746,1.0,1.0
5.0,0.9063654772980905,1.0,1.0
5.0,0.9063654772980905,1.0,1.0
5.0,0.9063734003031,1.0,1.0
5.0,0.9063734003031,1.0,1.0
15.0,0.033056566646862864,0.1,0.01
2.0,4.5085472591929897e-07,0.0,0.016271886333836555
2.0,4.5085472591929897e-07,0.0,0.016271886333836555
2.0,4.5085472591929897e-07,0.1,0.02020465285059195
2.0,4.5085472591929897e-07,1.0,0.4281419588711968
5.0,4.5085472591929897e-07,1.0,0.39683754172287555
15.0,4.5085472591929897e-07,1.0,0.38068932487257334
2.0,4.5085472591929897e-07,0.0,0.016271886333836555
5.0,4.5085472591929897e-07,0.1,0.008039572579098389
15.0,4.5085472591929897e-07,0.1,0.0045473109502071835
0.1,4.5085472591929897e-07,0.1,0.06149529611287965
0.1,4.5085472591929897e-07,0.5,0.1581293050734632
0.1,4.5085472591929897e-07,1.0,0.47206925050174486
0.5,4.5085472591929897e-07,0.1,0.048482825479426915
0.5,4.5085472591929897e-07,0.5,0.1464091391785068
0.5,4.5085472591929897e-07,1.0,0.4605030344722215
1.0,4.5085472591929897e-07,0.1,0.035378202370288346
1.0,4.5085472591929897e-07,0.5,0.13491733323706512
1.0,4.5085472591929897e-07,1.0,0.44789987857957514
2.0,4.5085472591929897e-07,0.1,0.020204652844223923
2.0,4.5085472591929897e-07,0.5,0.11983210930740597
2.0,4.5085472591929897e-07,1.0,0.4281419588897665
5.0,4.5085472591929897e-07,0.1,0.008039572582883344
5.0,4.5085472591929897e-07,0.5,0.10232629552880375
5.0,4.5085472591929897e-07,1.0,0.3968375416003927
10.0,4.5085472591929897e-07,0.1,0.005199166842439252
10.0,4.5085472591929897e-07,0.5,0.096954905511951
10.0,4.5085472591929897e-07,1.0,0.382056303490905
20.0,4.5085472591929897e-07,0.1,0.004247875963252973
20.0,4.5085472591929897e-07,0.5,0.10073256519508994
20.0,4.5085472591929897e-07,1.0,0.38376236157571186
50.0,4.5085472591929897e-07,0.1,0.0041150619810946705
50.0,4.5085472591929897e-07,0.5,0.12502709392577174
50.0,4.5085472591929897e-07,1.0,0.4238223067034246
100.0,4.5085472591929897e-07,0.1,0.004694871017210812
100.0,4.5085472591929897e-07,0.5,0.16996026515104454
100.0,4.5085472591929897e-07,1.0,0.5041047320550084
0.1,4.5085472591929897e-07,0.1,0.06149529611287965
0.1,4.5085472591929897e-07,0.5,0.1581293050734632
0.1,4.5085472591929897e-07,1.5,0.9821016163483414
0.1,0.2933625167280531,2.0,1.6776836153962233
0.5,4.5085472591929897e-07,1.5,0.9715034551077253
0.5,0.15933728320862553,2.0,1.67373251313657
1.0,4.5085472591929897e-07,1.5,0.9593943615860552
1.0,0.11341645200997441,2.0,1.663770890019099
2.0,4.5085472591929897e-07,1.5,0.9392034025377207
2.0,0.08023530875842146,2.0,1.6461322341604285
5.0,4.5085472591929897e-07,1.5,0.9009511578762593
5.0,0.050927365715997146,2.0,1.6084030053062857
10.0,4.5085472591929897e-07,1.5,0.8731083425643766
10.0,0.037327300637457234,2.0,1.5740033734591798
20.0,4.5085472591929897e-07,1.5,0.8590035255410089
20.0,0.029696543315042696,2.0,1.5462691107478692
50.0,4.5085472591929897e-07,1.5,0.8764567081572477
50.0,0.025277664743915802,2.0,1.536822348042784
100.0,4.2024034619149953e-07,1.5,0.9313638158917935
100.0,0.023996518654985227,2.0,1.5608733689353411
0.1,0.2406927886949498,2.5,2.5310123912204756
0.5,0.3464901687703092,2.5,2.5658816337405517
1.0,0.25229196702000295,2.5,2.5593253066130557
2.0,0.18122346298691522,2.5,2.5451818009190266
5.0,0.11810676031853823,2.5,2.51155517042979
10.0,0.08788264330645897,2.5,2.476095579011953
20.0,0.06888175122157907,2.5,2.4406937114404026
50.0,0.05571297462011127,2.5,2.4128339419703337
100.0,0.05102929859392052,2.5,2.4162235237974548
